palabra,definicion,nivel2,past_participle,past_simple,tipo
exercise,,B1 Preliminar,,,
lie down,,B1 Preliminar,,,
barbecue,,B1 Preliminar,,,
hang out,,B1 Preliminar,,,
sunbathe,,B1 Preliminar,,,
surround,,B1 Preliminar,,,
complain,,B1 Preliminar,,,
exchange,,B1 Preliminar,,,
practise,,A1 Movers,,,
take off,,B1 Preliminar,,,
complete,,B1 Preliminar,,,
decrease,,B1 Preliminar,,,
download,,B1 Preliminar,,,
interest,,B1 Preliminar,,,
surprise,,B1 Preliminar,,,
break in,,B1 Preliminar,,,
bring up,,B1 Preliminar,,,
call for,,B1 Preliminar,,,
carry on,,B1 Preliminar,,,
check in,,B1 Preliminar,,,
find out,,B1 Preliminar,,,
get back,,B1 Preliminar,,,
get down,,B1 Preliminar,,,
give out,,B1 Preliminar,,,
give way,,B1 Preliminar,,,
hand out,,B1 Preliminar,,,
look for,,B1 Preliminar,,,
look out,,B1 Preliminar,,,
put away,,B1 Preliminar,,,
put down,,B1 Preliminar,,,
sit down,,B1 Preliminar,,,
split up,,B1 Preliminar,,,
work out,,B1 Preliminar,,,
announce,,B1 Preliminar,,,
approach,,B1 Preliminar,,,
consider,,B1 Preliminar,,,
continue,,B1 Preliminar,,,
convince,,B1 Preliminar,,,
decorate,,B1 Preliminar,,,
describe,,B1 Preliminar,,,
disagree,,B1 Preliminar,,,
discover,,B1 Preliminar,,,
frighten,,B1 Preliminar,,,
identify,,B1 Preliminar,,,
increase,,B1 Preliminar,,,
multiply,,B1 Preliminar,,,
organise,,B1 Preliminar,,,
persuade,,B1 Preliminar,,,
postpone,,B1 Preliminar,,,
practise,,B1 Preliminar,,,
subtract,,B1 Preliminar,,,
transfer,,B1 Preliminar,,,
complete,,Pre A1 Starters,,,
remember,,A2 Flyers,,,
telephone,,B1 Preliminar,,,
volunteer,,B1 Preliminar,,,
chill out,,B1 Preliminar,,,
pronounce,,B1 Preliminar,,,
translate,,B1 Preliminar,,,
advertise,,B1 Preliminar,,,
snowboard,,B1 Preliminar,,,
hitchhike,,B1 Preliminar,,,
challenge,,B1 Preliminar,,,
influence,,B1 Preliminar,,,
interview,,B1 Preliminar,,,
carry out,,B1 Preliminar,,,
check out,,B1 Preliminar,,,
cross out,,B1 Preliminar,,,
give back,,B1 Preliminar,,,
ring back,,B1 Preliminar,,,
turn down,,B1 Preliminar,,,
turn into,,B1 Preliminar,,,
accompany,,B1 Preliminar,,,
apologise,,B1 Preliminar,,,
celebrate,,B1 Preliminar,,,
disappear,,B1 Preliminar,,,
encourage,,B1 Preliminar,,,
entertain,,B1 Preliminar,,,
interrupt,,B1 Preliminar,,,
introduce,,B1 Preliminar,,,
recognise,,B1 Preliminar,,,
recommend,,B1 Preliminar,,,
underline,,B1 Preliminar,,,
disappear,,A1 Movers,,,
undressed,,A1 Movers,,,
up/on/off,,A1 Movers,,,
photograph,,B1 Preliminar,,,
understand,,Pre A1 Starters,,,
skateboard,,B1 Preliminar,,,
experience,,B1 Preliminar,,,
break down,,B1 Preliminar,,,
knock down,,B1 Preliminar,,,
look after,,B1 Preliminar,,,
throw away,,B1 Preliminar,,,
write down,,B1 Preliminar,,,
disappoint,,B1 Preliminar,,,
understand,,B1 Preliminar,,,
communicate,,B1 Preliminar,,,
put through,,B1 Preliminar,,,
stay behind,,B1 Preliminar,,,
concentrate,,B1 Preliminar,,,
look forward,,B1 Preliminar,,,
